WARNING:tensorflow:From /home/er3s56/onsager_deep_learning/tools/problems.py:45: to_float (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From /usr/local/lib/python2.7/dist-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From /usr/local/lib/python2.7/dist-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
norms xval:224.5516510 yval:224.0477230
Linear trainrate=0.5 fine tuning all H0:0,theta0:0,vs0:0,H1:0,G1:0,vs1:0,theta1:0,H2:0,G2:0,vs2:0,theta2:0

i=0      nmse=-1.705712 dB (best=-1.705712)

i=10     nmse=-1.738880 dB (best=-1.738880)
i=20     nmse=-1.771154 dB (best=-1.771154)
i=30     nmse=-1.802469 dB (best=-1.802469)
i=40     nmse=-1.832883 dB (best=-1.832883)
i=50     nmse=-1.862320 dB (best=-1.862320)
i=60     nmse=-1.890840 dB (best=-1.890839)
i=70     nmse=-1.918360 dB (best=-1.918360)
i=80     nmse=-1.944939 dB (best=-1.944939)
i=90     nmse=-1.970611 dB (best=-1.970611)
i=100    nmse=-1.995378 dB (best=-1.995378)
i=110    nmse=-2.019337 dB (best=-2.019337)
i=1100   nmse=-2.814963 dB (best=-2.814963)
i=1110   nmse=-2.817228 dB (best=-2.817227)
i=1120   nmse=-2.819471 dB (best=-2.819471)
i=1130   nmse=-2.821678 dB (best=-2.821678)
i=1140   nmse=-2.823874 dB (best=-2.823874)
i=1150   nmse=-2.826055 dB (best=-2.826055)
i=1160   nmse=-2.828182 dB (best=-2.828182)
i=1170   nmse=-2.830248 dB (best=-2.830248)
i=1180   nmse=-2.832183 dB (best=-2.832183)
i=1190   nmse=-2.834056 dB (best=-2.834056)
i=1200   nmse=-2.836006 dB (best=-2.836006)
i=1210   nmse=-2.837889 dB (best=-2.837889)
i=1220   nmse=-2.839844 dB (best=-2.839844)
i=1230   nmse=-2.841845 dB (best=-2.841844)
i=1240   nmse=-2.843808 dB (best=-2.843808)
i=1250   nmse=-2.845694 dB (best=-2.845694)
i=1260   nmse=-2.847418 dB (best=-2.847418)
i=1270   nmse=-2.849038 dB (best=-2.849038)
i=1280   nmse=-2.850693 dB (best=-2.850693)
i=1290   nmse=-2.852380 dB (best=-2.852380)
i=1300   nmse=-2.854213 dB (best=-2.854212)
i=1310   nmse=-2.856020 dB (best=-2.856020)
i=1320   nmse=-2.857777 dB (best=-2.857777)
i=1330   nmse=-2.859401 dB (best=-2.859401)
i=1340   nmse=-2.860986 dB (best=-2.860986)
i=1350   nmse=-2.862606 dB (best=-2.862606)
i=1360   nmse=-2.864282 dB (best=-2.864281)
i=1370   nmse=-2.865801 dB (best=-2.865800)
i=1380   nmse=-2.867306 dB (best=-2.867306)
i=1390   nmse=-2.868721 dB (best=-2.868721)
i=1400   nmse=-2.870128 dB (best=-2.870128)
i=1410   nmse=-2.871537 dB (best=-2.871537)
i=1420   nmse=-2.873003 dB (best=-2.873003)
i=1430   nmse=-2.874384 dB (best=-2.874384)
i=1440   nmse=-2.875733 dB (best=-2.875733)
i=1450   nmse=-2.877148 dB (best=-2.877148)
i=1460   nmse=-2.878592 dB (best=-2.878592)
i=1470   nmse=-2.879978 dB (best=-2.879978)
i=1480   nmse=-2.881322 dB (best=-2.881322)
i=1490   nmse=-2.882599 dB (best=-2.882599)
i=1500   nmse=-2.883867 dB (best=-2.883867)
i=1510   nmse=-2.885154 dB (best=-2.885153)
i=1520   nmse=-2.886352 dB (best=-2.886352)
i=1530   nmse=-2.887470 dB (best=-2.887469)
i=1540   nmse=-2.888607 dB (best=-2.888608)
i=1550   nmse=-2.889767 dB (best=-2.889767)
i=1560   nmse=-2.890919 dB (best=-2.890919)
i=1570   nmse=-2.892081 dB (best=-2.892080)
i=1580   nmse=-2.893274 dB (best=-2.893274)
i=1590   nmse=-2.894505 dB (best=-2.894505)
i=1600   nmse=-2.895705 dB (best=-2.895705)
i=1610   nmse=-2.896768 dB (best=-2.896767)
i=1620   nmse=-2.897854 dB (best=-2.897854)
i=1630   nmse=-2.899024 dB (best=-2.899024)
